temperature_recorded_date,state_name,crop_name,apy_item_interval_start,state_temperature_max_val,state_temperature_min_val,state_rainfall_val,yield,FRL,Live Cap FRL,Level,Current Live Storage,avg_temp,water_stress,rainfall_7d_avg,level_7d_avg,storage_7d_avg,rainfall_7d_lag,level_7d_lag,storage_7d_lag
2010-01-01,Rajasthan,masoor,2010,26.92,4.54,0.0,0.87245,287.252,1.1654,277.794,0.346096,15.73,98.8346,0.0,277.794,0.346096,,,
2010-01-02,Rajasthan,masoor,2010,28.36,6.14,0.0,0.87245,287.252,1.1654,277.764,0.343044,17.25,98.8346,0.0,277.779,0.34457000000000004,,,
2010-01-03,Rajasthan,masoor,2010,24.65,8.75,0.65,0.87245,287.252,1.1654,277.712,0.337742,16.7,98.8346,0.21666666666666667,277.75666666666666,0.34229400000000004,,,
2010-01-04,Rajasthan,masoor,2010,25.05,6.9,0.63,0.87245,287.252,1.1654,277.67400000000004,0.3348919999999999,15.975000000000001,98.8346,0.32,277.736,0.3404435,,,
2010-01-05,Rajasthan,masoor,2010,25.6,4.45,0.0,0.87245,287.252,1.1654,277.636,0.33119,15.025,98.8346,0.256,277.716,0.33859279999999997,,,
2010-01-06,Rajasthan,masoor,2010,26.7,4.84,0.0,0.87245,287.252,1.1654,277.61,0.329144,15.77,98.8346,0.21333333333333335,277.6983333333333,0.337018,,,
2010-01-07,Rajasthan,masoor,2010,27.04,5.33,0.0,0.87245,287.252,1.1654,277.59000000000003,0.327694,16.185,98.8346,0.18285714285714286,277.6828571428572,0.335686,,,
2010-01-08,Rajasthan,masoor,2010,26.33,5.19,0.0,0.87245,287.252,1.1654,277.558,0.3257919999999999,15.76,98.8346,0.18285714285714286,277.6491428571429,0.3327854285714285,0.0,277.794,0.346096
2010-01-09,Rajasthan,masoor,2010,26.05,5.33,0.0,0.87245,287.252,1.1654,277.534,0.32334,15.690000000000001,98.8346,0.18285714285714286,277.6162857142857,0.3299705714285714,0.0,277.764,0.343044
2010-01-10,Rajasthan,masoor,2010,26.22,3.87,0.01,0.87245,287.252,1.1654,277.482,0.32049,15.045,98.8346,0.09142857142857143,277.58342857142856,0.32750599999999996,0.65,277.712,0.337742
2010-01-11,Rajasthan,masoor,2010,27.52,3.19,0.0,0.87245,287.252,1.1654,277.462,0.318988,15.355,98.8346,0.0014285714285714286,277.55314285714286,0.32523399999999997,0.63,277.67400000000004,0.3348919999999999
2010-01-12,Rajasthan,masoor,2010,27.29,4.26,0.0,0.87245,287.252,1.1654,277.442,0.317536,15.774999999999999,98.8346,0.0014285714285714286,277.52542857142856,0.32328342857142855,0.0,277.636,0.33119
2010-01-13,Rajasthan,masoor,2010,23.77,4.58,1.35,0.87245,287.252,1.1654,277.406,0.3162919999999999,14.175,98.8346,0.1942857142857143,277.49628571428576,0.32144742857142855,0.0,277.61,0.329144
2010-01-14,Rajasthan,masoor,2010,23.78,3.23,0.02,0.87245,287.252,1.1654,277.316,0.31259,13.505,98.8346,0.19714285714285715,277.45714285714286,0.31928971428571423,0.0,277.59000000000003,0.327694
2010-01-15,Rajasthan,masoor,2010,24.12,4.74,0.0,0.87245,287.252,1.1654,277.152,0.3077379999999999,14.43,98.8346,0.19714285714285715,277.39914285714286,0.31671057142857134,0.0,277.558,0.3257919999999999
2010-01-16,Rajasthan,masoor,2010,26.59,3.52,0.0,0.87245,287.252,1.1654,277.144,0.307488,15.055,98.8346,0.19714285714285715,277.34342857142855,0.31444599999999995,0.0,277.534,0.32334
2010-01-17,Rajasthan,masoor,2010,27.68,5.15,0.0,0.87245,287.252,1.1654,277.04799999999994,0.306392,16.415,98.8346,0.19571428571428573,277.2814285714286,0.312432,0.01,277.482,0.32049
2010-01-18,Rajasthan,masoor,2010,28.3,5.95,0.0,0.87245,287.252,1.1654,276.98,0.30794,17.125,98.8346,0.19571428571428573,277.21257142857144,0.3108537142857143,0.0,277.462,0.318988
2010-01-19,Rajasthan,masoor,2010,28.56,4.75,0.0,0.87245,287.252,1.1654,276.91,0.30829,16.655,98.8346,0.19571428571428573,277.1365714285715,0.3095328571428571,0.0,277.442,0.317536
2010-01-20,Rajasthan,masoor,2010,29.4,4.73,0.0,0.87245,287.252,1.1654,276.79,0.3050039999999999,17.064999999999998,98.8346,0.002857142857142857,277.04857142857145,0.3079202857142857,1.35,277.406,0.3162919999999999
2010-01-21,Rajasthan,masoor,2010,29.33,4.53,0.0,0.87245,287.252,1.1654,276.666,0.30477,16.93,98.8346,0.0,276.9557142857143,0.30680314285714283,0.02,277.316,0.31259
