temperature_recorded_date,state_name,crop_name,apy_item_interval_start,state_temperature_max_val,state_temperature_min_val,state_rainfall_val,yield,FRL,Live Cap FRL,Level,Current Live Storage
2010-01-01,Rajasthan,gram,2010,26.92,4.54,0.0,0.89763,287.252,1.1654,277.794,0.346096
2010-01-02,Rajasthan,gram,2010,28.36,6.14,0.0,0.89763,287.252,1.1654,277.764,0.343044
2010-01-03,Rajasthan,gram,2010,24.65,8.75,0.65,0.89763,287.252,1.1654,277.712,0.337742
2010-01-04,Rajasthan,gram,2010,25.05,6.9,0.63,0.89763,287.252,1.1654,277.67400000000004,0.3348919999999999
2010-01-05,Rajasthan,gram,2010,25.6,4.45,0.0,0.89763,287.252,1.1654,277.636,0.33119
2010-01-06,Rajasthan,gram,2010,26.7,4.84,0.0,0.89763,287.252,1.1654,277.61,0.329144
2010-01-07,Rajasthan,gram,2010,27.04,5.33,0.0,0.89763,287.252,1.1654,277.59000000000003,0.327694
2010-01-08,Rajasthan,gram,2010,26.33,5.19,0.0,0.89763,287.252,1.1654,277.558,0.3257919999999999
2010-01-09,Rajasthan,gram,2010,26.05,5.33,0.0,0.89763,287.252,1.1654,277.534,0.32334
2010-01-10,Rajasthan,gram,2010,26.22,3.87,0.01,0.89763,287.252,1.1654,277.482,0.32049
2010-01-11,Rajasthan,gram,2010,27.52,3.19,0.0,0.89763,287.252,1.1654,277.462,0.318988
2010-01-12,Rajasthan,gram,2010,27.29,4.26,0.0,0.89763,287.252,1.1654,277.442,0.317536
2010-01-13,Rajasthan,gram,2010,23.77,4.58,1.35,0.89763,287.252,1.1654,277.406,0.3162919999999999
2010-01-14,Rajasthan,gram,2010,23.78,3.23,0.02,0.89763,287.252,1.1654,277.316,0.31259
2010-01-15,Rajasthan,gram,2010,24.12,4.74,0.0,0.89763,287.252,1.1654,277.152,0.3077379999999999
2010-01-16,Rajasthan,gram,2010,26.59,3.52,0.0,0.89763,287.252,1.1654,277.144,0.307488
2010-01-17,Rajasthan,gram,2010,27.68,5.15,0.0,0.89763,287.252,1.1654,277.04799999999994,0.306392
2010-01-18,Rajasthan,gram,2010,28.3,5.95,0.0,0.89763,287.252,1.1654,276.98,0.30794
