temperature_recorded_date,state_name,crop_name,apy_item_interval_start,state_temperature_max_val,state_temperature_min_val,state_rainfall_val,yield,FRL,Live Cap FRL,Level,Current Live Storage
2010-01-01,Chhattisgarh,masoor,2010,29.03,7.15,0.0,0.31223,377.82,1.3656666666666666,368.3366666666666,0.5710666666666667
2010-01-02,Chhattisgarh,masoor,2010,28.79,5.79,0.0,0.31223,377.82,1.3656666666666666,368.32,0.5703333333333332
2010-01-03,Chhattisgarh,masoor,2010,29.8,5.67,0.0,0.31223,377.82,1.3656666666666666,368.31666666666666,0.5703333333333332
2010-01-04,Chhattisgarh,masoor,2010,29.93,8.12,0.0,0.31223,377.82,1.3656666666666666,368.31,0.57
2010-01-05,Chhattisgarh,masoor,2010,29.28,8.32,0.0,0.31223,377.82,1.3656666666666666,368.29,0.5673333333333334
2010-01-06,Chhattisgarh,masoor,2010,28.53,6.88,0.0,0.31223,377.82,1.3656666666666666,368.2833333333333,0.5670000000000001
2010-01-07,Chhattisgarh,masoor,2010,28.42,5.61,0.0,0.31223,377.82,1.3656666666666666,368.2833333333333,0.5673333333333334
2010-01-08,Chhattisgarh,masoor,2010,28.7,5.46,0.0,0.31223,377.82,1.3656666666666666,368.2633333333333,0.5662666666666667
2010-01-09,Chhattisgarh,masoor,2010,28.75,6.96,0.0,0.31223,377.82,1.3656666666666666,368.26,0.5659333333333333
2010-01-10,Chhattisgarh,masoor,2010,29.76,9.43,0.0,0.31223,377.82,1.3656666666666666,368.2533333333333,0.5656
2010-01-11,Chhattisgarh,masoor,2010,30.76,8.72,0.0,0.31223,377.82,1.3656666666666666,368.24,0.5652
2010-01-12,Chhattisgarh,masoor,2010,29.98,8.69,0.79,0.31223,377.82,1.3656666666666666,368.23333333333335,0.5648666666666667
2010-01-13,Chhattisgarh,masoor,2010,28.18,13.09,3.27,0.31223,377.82,1.3656666666666666,368.2133333333333,0.5628666666666667
2010-01-14,Chhattisgarh,masoor,2010,28.48,13.26,3.91,0.31223,377.82,1.3656666666666666,368.2133333333333,0.5628666666666667
2010-01-15,Chhattisgarh,masoor,2010,27.98,9.69,0.09,0.31223,377.82,1.3656666666666666,368.19666666666666,0.5612
2010-01-16,Chhattisgarh,masoor,2010,28.66,8.15,0.8,0.31223,377.82,1.3656666666666666,368.1766666666667,0.5592
2010-01-17,Chhattisgarh,masoor,2010,29.02,7.6,0.14,0.31223,377.82,1.3656666666666666,368.17333333333335,0.5588666666666667
2010-01-18,Chhattisgarh,masoor,2010,29.54,6.82,0.02,0.31223,377.82,1.3656666666666666,368.15333333333336,0.5568666666666667
2010-01-19,Chhattisgarh,masoor,2010,29.67,5.62,0.0,0.31223,377.82,1.3656666666666666,368.1466666666667,0.5562
2010-01-20,Chhattisgarh,masoor,2010,29.62,6.59,0.0,0.31223,377.82,1.3656666666666666,368.1266666666667,0.5545333333333333
2010-01-21,Chhattisgarh,masoor,2010,29.38,5.17,0.0,0.31223,377.82,1.3656666666666666,368.1233333333333,0.5541999999999999
2010-01-22,Chhattisgarh,masoor,2010,29.77,5.71,0.0,0.31223,377.82,1.3656666666666666,368.12,0.5538666666666666
2010-01-23,Chhattisgarh,masoor,2010,29.71,6.85,0.0,0.31223,377.82,1.3656666666666666,368.1133333333333,0.5535333333333333
2010-01-24,Chhattisgarh,masoor,2010,30.0,6.72,0.0,0.31223,377.82,1.3656666666666666,368.11,0.5535333333333333
2010-01-25,Chhattisgarh,masoor,2010,29.69,8.37,0.0,0.31223,377.82,1.3656666666666666,368.0966666666666,0.5531366666666666
2010-01-26,Chhattisgarh,masoor,2010,30.06,7.99,0.0,0.31223,377.82,1.3656666666666666,368.08,0.5527366666666667
2010-01-27,Chhattisgarh,masoor,2010,29.79,7.51,0.0,0.31223,377.82,1.3656666666666666,368.0566666666667,0.5504033333333334
2010-01-28,Chhattisgarh,masoor,2010,29.63,8.63,0.0,0.31223,377.82,1.3656666666666666,368.04,0.54967
2010-01-29,Chhattisgarh,masoor,2010,30.17,8.65,0.0,0.31223,377.82,1.3656666666666666,368.0233333333333,0.5496033333333333
2010-01-30,Chhattisgarh,masoor,2010,30.41,9.21,0.0,0.31223,377.82,1.3656666666666666,368.00666666666666,0.54887
2010-01-31,Chhattisgarh,masoor,2010,30.66,9.88,0.0,0.31223,377.82,1.3656666666666666,367.99,0.5484699999999999
2010-02-01,Chhattisgarh,masoor,2010,30.45,10.22,0.0,0.31223,377.82,1.3656666666666666,367.9766666666667,0.5464066666666666
2010-02-02,Chhattisgarh,masoor,2010,30.94,11.22,0.0,0.31223,377.82,1.3656666666666666,367.96,0.5460066666666666
2010-02-03,Chhattisgarh,masoor,2010,31.13,10.94,0.0,0.31223,377.82,1.3656666666666666,367.93666666666667,0.54554
2010-02-04,Chhattisgarh,masoor,2010,30.96,10.15,0.0,0.31223,377.82,1.3656666666666666,367.91,0.5450766666666667
2010-02-05,Chhattisgarh,masoor,2010,30.78,9.26,0.12,0.31223,377.82,1.3656666666666666,367.8866666666667,0.5449433333333333
2010-02-06,Chhattisgarh,masoor,2010,31.15,9.81,0.0,0.31223,377.82,1.3656666666666666,367.87000000000006,0.54421
2010-02-07,Chhattisgarh,masoor,2010,31.49,10.64,0.0,0.31223,377.82,1.3656666666666666,367.8666666666666,0.54421
2010-02-08,Chhattisgarh,masoor,2010,32.33,11.72,0.0,0.31223,377.82,1.3656666666666666,367.86,0.5435433333333334
2010-02-09,Chhattisgarh,masoor,2010,32.38,13.52,0.0,0.31223,377.82,1.3656666666666666,367.8566666666666,0.5435433333333334
2010-02-10,Chhattisgarh,masoor,2010,31.73,14.24,0.0,0.31223,377.82,1.3656666666666666,367.8533333333333,0.5432100000000001
2010-02-11,Chhattisgarh,masoor,2010,31.79,13.87,0.0,0.31223,377.82,1.3656666666666666,367.8066666666667,0.5411533333333334
2010-02-12,Chhattisgarh,masoor,2010,32.38,14.85,0.0,0.31223,377.82,1.3656666666666666,367.77,0.5403166666666667
2010-02-13,Chhattisgarh,masoor,2010,33.51,12.78,0.0,0.31223,377.82,1.3656666666666666,367.7366666666667,0.5401466666666667
2010-02-14,Chhattisgarh,masoor,2010,33.88,13.94,0.11,0.31223,377.82,1.3656666666666666,367.71333333333337,0.5378133333333334
2010-02-15,Chhattisgarh,masoor,2010,33.66,13.6,0.0,0.31223,377.82,1.3656666666666666,367.71,0.5378133333333334
2010-02-16,Chhattisgarh,masoor,2010,32.97,16.26,1.27,0.31223,377.82,1.3656666666666666,367.69000000000005,0.5361466666666667
2010-02-17,Chhattisgarh,masoor,2010,33.41,16.13,0.62,0.31223,377.82,1.3656666666666666,367.69000000000005,0.5361466666666667
2010-02-18,Chhattisgarh,masoor,2010,33.9,12.31,0.15,0.31223,377.82,1.3656666666666666,367.67333333333335,0.5338133333333334
2010-02-19,Chhattisgarh,masoor,2010,34.21,10.83,0.05,0.31223,377.82,1.3656666666666666,367.66,0.5334233333333334
2010-02-20,Chhattisgarh,masoor,2010,34.16,10.76,0.0,0.31223,377.82,1.3656666666666666,367.64,0.5317566666666668
2010-02-21,Chhattisgarh,masoor,2010,34.38,10.98,0.0,0.31223,377.82,1.3656666666666666,367.6366666666666,0.5314233333333334
2010-02-22,Chhattisgarh,masoor,2010,34.31,11.56,0.13,0.31223,377.82,1.3656666666666666,367.6166666666666,0.5294233333333334
2010-02-23,Chhattisgarh,masoor,2010,34.36,13.71,0.02,0.31223,377.82,1.3656666666666666,367.6133333333333,0.5290900000000001
2010-02-24,Chhattisgarh,masoor,2010,33.98,15.41,0.74,0.31223,377.82,1.3656666666666666,367.61,0.5287566666666667
2010-02-25,Chhattisgarh,masoor,2010,34.97,14.29,0.0,0.31223,377.82,1.3656666666666666,367.6033333333333,0.5287566666666667
2010-02-26,Chhattisgarh,masoor,2010,34.77,14.81,0.0,0.31223,377.82,1.3656666666666666,367.6,0.5284233333333334
2010-02-27,Chhattisgarh,masoor,2010,35.11,13.79,0.0,0.31223,377.82,1.3656666666666666,367.5966666666666,0.5280900000000001
2010-02-28,Chhattisgarh,masoor,2010,35.84,14.78,0.0,0.31223,377.82,1.3656666666666666,367.5533333333333,0.52631
2010-03-01,Chhattisgarh,masoor,2010,36.34,14.98,0.0,0.31223,377.82,1.3656666666666666,367.5466666666666,0.5258433333333333
2010-03-02,Chhattisgarh,masoor,2010,36.63,15.9,0.0,0.31223,377.82,1.3656666666666666,367.54333333333335,0.5251766666666666
2010-03-03,Chhattisgarh,masoor,2010,36.64,16.28,0.0,0.31223,377.82,1.3656666666666666,367.53,0.5249766666666666
2010-03-04,Chhattisgarh,masoor,2010,36.24,17.52,0.0,0.31223,377.82,1.3656666666666666,367.52,0.5245866666666666
2010-03-05,Chhattisgarh,masoor,2010,36.59,18.66,0.0,0.31223,377.82,1.3656666666666666,367.4933333333333,0.52192
2010-03-06,Chhattisgarh,masoor,2010,37.45,18.03,0.0,0.31223,377.82,1.3656666666666666,367.48333333333335,0.5212533333333332
2010-03-07,Chhattisgarh,masoor,2010,36.87,17.57,0.0,0.31223,377.82,1.3656666666666666,367.48,0.5212533333333332
2010-03-08,Chhattisgarh,masoor,2010,36.99,16.91,0.0,0.31223,377.82,1.3656666666666666,367.4666666666667,0.5208633333333333
