temperature_recorded_date,state_name,crop_name,apy_item_interval_start,state_temperature_max_val,state_temperature_min_val,state_rainfall_val,yield,FRL,Live Cap FRL,Level,Current Live Storage
2010-01-01,Andhra Pradesh,rice,2010,30.89,15.78,0.0,4.00722,152.29666666666665,2.8383333333333334,145.78666666666666,2.494666666666667
2010-01-02,Andhra Pradesh,rice,2010,30.39,13.95,0.0,4.00722,152.29666666666665,2.8383333333333334,145.76666666666668,2.4933333333333336
2010-01-03,Andhra Pradesh,rice,2010,31.38,12.06,0.0,4.00722,152.29666666666665,2.8383333333333334,145.73666666666665,2.4923333333333333
2010-01-04,Andhra Pradesh,rice,2010,31.71,12.24,0.0,4.00722,152.29666666666665,2.8383333333333334,145.70666666666668,2.471
2010-01-05,Andhra Pradesh,rice,2010,32.2,13.11,0.0,4.00722,152.29666666666665,2.8383333333333334,145.67333333333335,2.49
2010-01-06,Andhra Pradesh,rice,2010,30.58,13.88,0.0,4.00722,152.29666666666665,2.8383333333333334,145.63333333333335,2.4886666666666666
2010-01-07,Andhra Pradesh,rice,2010,29.88,13.66,0.0,4.00722,152.29666666666665,2.8383333333333334,145.6,2.4876666666666667
2010-01-08,Andhra Pradesh,rice,2010,29.62,14.2,0.0,4.00722,152.29666666666665,2.8383333333333334,145.56,2.486333333333333
2010-01-09,Andhra Pradesh,rice,2010,29.47,17.49,0.18,4.00722,152.29666666666665,2.8383333333333334,145.51999999999998,2.4026666666666667
2010-01-10,Andhra Pradesh,rice,2010,31.61,18.02,0.41,4.00722,152.29666666666665,2.8383333333333334,145.45666666666665,2.401666666666667
2010-01-11,Andhra Pradesh,rice,2010,32.07,18.45,0.26,4.00722,152.29666666666665,2.8383333333333334,145.38000000000002,2.4003333333333337
2010-01-12,Andhra Pradesh,rice,2010,32.19,19.2,0.17,4.00722,152.29666666666665,2.8383333333333334,145.32666666666665,2.3993333333333333
2010-01-13,Andhra Pradesh,rice,2010,31.69,18.89,0.08,4.00722,152.29666666666665,2.8383333333333334,145.25333333333336,2.398
