temperature_recorded_date,state_name,crop_name,apy_item_interval_start,state_temperature_max_val,state_temperature_min_val,state_rainfall_val,yield,FRL,Live Cap FRL,Level,Current Live Storage
2010-01-01,Maharashtra,wheat,2010,32.29,9.07,0.0,1.76091,552.6172727272727,0.7027727272727273,534.7389000000001,0.466802
2010-01-02,Maharashtra,wheat,2010,32.28,7.89,0.0,1.76091,552.6172727272727,0.7027727272727273,534.7139,0.4654920000000001
2010-01-03,Maharashtra,wheat,2010,31.89,8.53,0.01,1.76091,552.6172727272727,0.7027727272727273,534.6813500000001,0.4643085
2010-01-04,Maharashtra,wheat,2010,31.81,11.38,0.0,1.76091,552.6172727272727,0.7027727272727273,534.60735,0.4632989999999999
2010-01-05,Maharashtra,wheat,2010,31.53,10.14,0.0,1.76091,552.6172727272727,0.7027727272727273,534.6207999999999,0.4617455
2010-01-06,Maharashtra,wheat,2010,31.26,7.11,0.0,1.76091,552.6172727272727,0.7027727272727273,534.58475,0.4606065
2010-01-07,Maharashtra,wheat,2010,31.41,6.54,0.0,1.76091,552.6172727272727,0.7027727272727273,534.5522,0.458711
2010-01-08,Maharashtra,wheat,2010,31.21,7.0,0.0,1.76091,552.6172727272727,0.7027727272727273,534.5062,0.4569465
2010-01-09,Maharashtra,wheat,2010,31.29,8.7,0.0,1.76091,552.6172727272727,0.7027727272727273,534.47005,0.4555654999999999
2010-01-10,Maharashtra,wheat,2010,31.58,10.44,0.0,1.76091,552.6172727272727,0.7027727272727273,534.44355,0.454076
2010-01-11,Maharashtra,wheat,2010,31.51,10.99,0.09,1.76091,552.6172727272727,0.7027727272727273,534.4015,0.452248
2010-01-12,Maharashtra,wheat,2010,30.59,13.33,2.16,1.76091,552.6172727272727,0.7027727272727273,534.3649499999999,0.450772
2010-01-13,Maharashtra,wheat,2010,30.86,13.88,2.87,1.76091,552.6172727272727,0.7027727272727273,534.32245,0.448895
2010-01-14,Maharashtra,wheat,2010,31.88,10.63,1.19,1.76091,552.6172727272727,0.7027727272727273,534.2839,0.4472555
2010-01-15,Maharashtra,wheat,2010,31.04,9.32,0.0,1.76091,552.6172727272727,0.7027727272727273,534.23585,0.4453665
2010-01-16,Maharashtra,wheat,2010,33.27,8.2,0.08,1.76091,552.6172727272727,0.7027727272727273,534.1832999999999,0.4438069999999999
2010-01-17,Maharashtra,wheat,2010,32.8,8.23,0.0,1.76091,552.6172727272727,0.7027727272727273,534.13525,0.4424775
2010-01-18,Maharashtra,wheat,2010,31.51,8.12,0.06,1.76091,552.6172727272727,0.7027727272727273,534.10165,0.441157
2010-01-19,Maharashtra,wheat,2010,31.29,7.77,0.0,1.76091,552.6172727272727,0.7027727272727273,534.0416,0.4395494999999999
2010-01-20,Maharashtra,wheat,2010,32.16,7.46,0.0,1.76091,552.6172727272727,0.7027727272727273,533.99155,0.4380325
2010-01-21,Maharashtra,wheat,2010,32.05,7.71,0.0,1.76091,552.6172727272727,0.7027727272727273,533.9465,0.436723
2010-01-22,Maharashtra,wheat,2010,32.25,8.09,0.0,1.76091,552.6172727272727,0.7027727272727273,533.89795,0.4352939999999999
2010-01-23,Maharashtra,wheat,2010,32.28,8.62,0.0,1.76091,552.6172727272727,0.7027727272727273,533.8419,0.4337614999999999
2010-01-24,Maharashtra,wheat,2010,31.02,9.28,0.0,1.76091,552.6172727272727,0.7027727272727273,533.78685,0.432467
2010-01-25,Maharashtra,wheat,2010,31.03,10.02,0.0,1.76091,552.6172727272727,0.7027727272727273,533.7417499999999,0.4312625
2010-01-26,Maharashtra,wheat,2010,32.2,10.37,0.0,1.76091,552.6172727272727,0.7027727272727273,533.6892,0.429809
2010-01-27,Maharashtra,wheat,2010,31.14,10.12,0.0,1.76091,552.6172727272727,0.7027727272727273,533.6306999999999,0.4282085
2010-01-28,Maharashtra,wheat,2010,31.75,10.43,0.0,1.76091,552.6172727272727,0.7027727272727273,533.57515,0.4264685
2010-01-29,Maharashtra,wheat,2010,31.87,10.96,0.0,1.76091,552.6172727272727,0.7027727272727273,533.5110999999999,0.424877
2010-01-30,Maharashtra,wheat,2010,32.14,10.64,0.0,1.76091,552.6172727272727,0.7027727272727273,533.44445,0.4229809999999999
2010-01-31,Maharashtra,wheat,2010,32.94,10.63,0.0,1.76091,552.6172727272727,0.7027727272727273,533.3793,0.421193
2010-02-01,Maharashtra,wheat,2010,32.01,12.28,0.0,1.76091,552.6172727272727,0.7027727272727273,533.32265,0.4194549999999999
2010-02-02,Maharashtra,wheat,2010,31.67,13.7,0.0,1.76091,552.6172727272727,0.7027727272727273,533.25655,0.4179565
2010-02-03,Maharashtra,wheat,2010,31.69,13.35,0.0,1.76091,552.6172727272727,0.7027727272727273,533.1949000000001,0.416255
2010-02-04,Maharashtra,wheat,2010,32.18,13.98,0.08,1.76091,552.6172727272727,0.7027727272727273,533.14775,0.4146849999999999
2010-02-05,Maharashtra,wheat,2010,32.0,12.63,0.35,1.76091,552.6172727272727,0.7027727272727273,533.0991,0.4131579999999999
2010-02-06,Maharashtra,wheat,2010,33.19,12.49,0.0,1.76091,552.6172727272727,0.7027727272727273,533.05895,0.4119345
2010-02-07,Maharashtra,wheat,2010,33.62,12.4,0.0,1.76091,552.6172727272727,0.7027727272727273,533.0198,0.410423
2010-02-08,Maharashtra,wheat,2010,33.43,13.02,0.0,1.76091,552.6172727272727,0.7027727272727273,532.9732,0.4091305
2010-02-09,Maharashtra,wheat,2010,32.84,14.99,0.0,1.76091,552.6172727272727,0.7027727272727273,532.92105,0.407904
2010-02-10,Maharashtra,wheat,2010,33.2,15.04,0.0,1.76091,552.6172727272727,0.7027727272727273,532.8684000000001,0.405946
2010-02-11,Maharashtra,wheat,2010,32.83,15.3,0.0,1.76091,552.6172727272727,0.7027727272727273,532.81475,0.4042645
2010-02-12,Maharashtra,wheat,2010,33.84,14.58,0.03,1.76091,552.6172727272727,0.7027727272727273,532.7606,0.402369
2010-02-13,Maharashtra,wheat,2010,35.39,14.51,0.0,1.76091,552.6172727272727,0.7027727272727273,532.7149999999999,0.4007995
2010-02-14,Maharashtra,wheat,2010,35.67,14.93,0.47,1.76091,552.6172727272727,0.7027727272727273,532.6699000000001,0.399483
2010-02-15,Maharashtra,wheat,2010,35.8,15.28,0.24,1.76091,552.6172727272727,0.7027727272727273,532.6273,0.398369
2010-02-16,Maharashtra,wheat,2010,35.19,15.02,0.84,1.76091,552.6172727272727,0.7027727272727273,532.5781,0.396911
2010-02-17,Maharashtra,wheat,2010,35.65,14.34,0.67,1.76091,552.6172727272727,0.7027727272727273,532.52895,0.395672
2010-02-18,Maharashtra,wheat,2010,35.79,12.29,0.0,1.76091,552.6172727272727,0.7027727272727273,532.4768,0.3941335
2010-02-19,Maharashtra,wheat,2010,36.19,12.65,0.03,1.76091,552.6172727272727,0.7027727272727273,532.41115,0.3910835
2010-02-20,Maharashtra,wheat,2010,36.59,13.05,0.02,1.76091,552.6172727272727,0.7027727272727273,532.304,0.3908785
2010-02-21,Maharashtra,wheat,2010,36.66,13.11,0.0,1.76091,552.6172727272727,0.7027727272727273,532.29435,0.3892685
2010-02-22,Maharashtra,wheat,2010,36.41,15.32,0.31,1.76091,552.6172727272727,0.7027727272727273,532.23525,0.3875845
2010-02-23,Maharashtra,wheat,2010,35.93,16.19,0.21,1.76091,552.6172727272727,0.7027727272727273,532.1736,0.3859555
2010-02-24,Maharashtra,wheat,2010,35.19,13.93,0.08,1.76091,552.6172727272727,0.7027727272727273,532.1279499999999,0.384351
2010-02-25,Maharashtra,wheat,2010,36.14,13.59,0.0,1.76091,552.6172727272727,0.7027727272727273,532.0763,0.3829554999999999
2010-02-26,Maharashtra,wheat,2010,36.37,14.12,0.0,1.76091,552.6172727272727,0.7027727272727273,532.0201500000001,0.3812544999999999
2010-02-27,Maharashtra,wheat,2010,36.67,15.27,0.0,1.76091,552.6172727272727,0.7027727272727273,531.9654499999999,0.3796375
2010-02-28,Maharashtra,wheat,2010,37.31,15.15,0.0,1.76091,552.6172727272727,0.7027727272727273,531.9048,0.3780249999999999
2010-03-01,Maharashtra,wheat,2010,37.69,16.36,0.0,1.76091,552.6172727272727,0.7027727272727273,531.8562,0.3765269999999999
2010-03-02,Maharashtra,wheat,2010,38.21,17.12,0.09,1.76091,552.6172727272727,0.7027727272727273,531.80755,0.3750874999999999
2010-03-03,Maharashtra,wheat,2010,38.14,18.01,0.0,1.76091,552.6172727272727,0.7027727272727273,531.74935,0.3733985
2010-03-04,Maharashtra,wheat,2010,37.77,17.45,0.0,1.76091,552.6172727272727,0.7027727272727273,531.70035,0.3476505
2010-03-05,Maharashtra,wheat,2010,37.72,17.69,0.0,1.76091,552.6172727272727,0.7027727272727273,531.6503,0.3700245
2010-03-06,Maharashtra,wheat,2010,38.29,17.6,0.0,1.76091,552.6172727272727,0.7027727272727273,531.5942,0.3683389999999999
2010-03-07,Maharashtra,wheat,2010,37.54,16.18,0.0,1.76091,552.6172727272727,0.7027727272727273,531.54915,0.3669079999999999
2010-03-08,Maharashtra,wheat,2010,38.78,16.54,0.0,1.76091,552.6172727272727,0.7027727272727273,531.50815,0.3649175
2010-03-09,Maharashtra,wheat,2010,38.99,16.79,0.0,1.76091,552.6172727272727,0.7027727272727273,531.4791,0.364256
2010-03-10,Maharashtra,wheat,2010,38.02,18.39,0.0,1.76091,552.6172727272727,0.7027727272727273,531.43355,0.362674
2010-03-11,Maharashtra,wheat,2010,37.61,19.44,0.75,1.76091,552.6172727272727,0.7027727272727273,531.3739499999999,0.36088
2010-03-12,Maharashtra,wheat,2010,38.12,18.43,2.22,1.76091,552.6172727272727,0.7027727272727273,531.30895,0.3590004999999999
2010-03-13,Maharashtra,wheat,2010,37.51,18.94,1.57,1.76091,552.6172727272727,0.7027727272727273,531.2256,0.3573045
2010-03-14,Maharashtra,wheat,2010,38.76,17.74,0.0,1.76091,552.6172727272727,0.7027727272727273,531.17055,0.355726
2010-03-15,Maharashtra,wheat,2010,39.01,16.68,0.0,1.76091,552.6172727272727,0.7027727272727273,531.11195,0.3541735
2010-03-16,Maharashtra,wheat,2010,39.59,17.17,0.0,1.76091,552.6172727272727,0.7027727272727273,531.0468,0.3524535
2010-03-17,Maharashtra,wheat,2010,39.57,17.45,0.0,1.76091,552.6172727272727,0.7027727272727273,530.99065,0.3508185
2010-03-18,Maharashtra,wheat,2010,40.7,18.5,0.0,1.76091,552.6172727272727,0.7027727272727273,530.926,0.3490014999999999
2010-03-19,Maharashtra,wheat,2010,40.38,19.42,0.0,1.76091,552.6172727272727,0.7027727272727273,530.85385,0.347057
2010-03-20,Maharashtra,wheat,2010,40.49,19.44,0.0,1.76091,552.6172727272727,0.7027727272727273,530.7827,0.3454145
2010-03-21,Maharashtra,wheat,2010,41.43,19.68,0.0,1.76091,552.6172727272727,0.7027727272727273,530.72005,0.3439554999999999
2010-03-22,Maharashtra,wheat,2010,41.77,19.92,0.0,1.76091,552.6172727272727,0.7027727272727273,530.6744,0.3427585
2010-03-23,Maharashtra,wheat,2010,41.8,19.85,0.0,1.76091,552.6172727272727,0.7027727272727273,530.61575,0.3415365
2010-03-24,Maharashtra,wheat,2010,40.95,18.98,0.0,1.76091,552.6172727272727,0.7027727272727273,530.5968,0.3396665
2010-03-25,Maharashtra,wheat,2010,40.5,19.24,0.0,1.76091,552.6172727272727,0.7027727272727273,530.4719,0.3379445
2010-03-26,Maharashtra,wheat,2010,40.65,19.93,0.0,1.76091,552.6172727272727,0.7027727272727273,530.3512499999999,0.3361065
2010-03-27,Maharashtra,wheat,2010,40.21,20.33,0.0,1.76091,552.6172727272727,0.7027727272727273,530.32355,0.3341135
2010-03-28,Maharashtra,wheat,2010,40.73,20.57,0.0,1.76091,552.6172727272727,0.7027727272727273,530.2429,0.3322885
2010-03-29,Maharashtra,wheat,2010,40.37,22.05,0.05,1.76091,552.6172727272727,0.7027727272727273,530.16325,0.3306274999999999
2010-03-30,Maharashtra,wheat,2010,40.47,21.01,0.0,1.76091,552.6172727272727,0.7027727272727273,530.0771,0.329449
2010-03-31,Maharashtra,wheat,2010,40.77,19.35,0.0,1.76091,552.6172727272727,0.7027727272727273,529.9879,0.3270035
2010-04-01,Maharashtra,wheat,2010,40.57,18.89,0.0,1.76091,552.6172727272727,0.7027727272727273,529.89275,0.325005
2010-04-02,Maharashtra,wheat,2010,41.21,20.28,0.0,1.76091,552.6172727272727,0.7027727272727273,529.8041000000001,0.323348
2010-04-03,Maharashtra,wheat,2010,41.56,19.92,0.0,1.76091,552.6172727272727,0.7027727272727273,529.7158999999999,0.3216664999999999
2010-04-04,Maharashtra,wheat,2010,41.88,19.62,0.0,1.76091,552.6172727272727,0.7027727272727273,529.62025,0.3193375
2010-04-05,Maharashtra,wheat,2010,42.32,19.75,0.0,1.76091,552.6172727272727,0.7027727272727273,529.51365,0.3170385
2010-04-06,Maharashtra,wheat,2010,43.17,20.08,0.0,1.76091,552.6172727272727,0.7027727272727273,529.40705,0.3141394999999999
2010-04-07,Maharashtra,wheat,2010,43.35,21.33,0.0,1.76091,552.6172727272727,0.7027727272727273,529.3144500000001,0.3165395
2010-04-08,Maharashtra,wheat,2010,43.0,22.64,0.0,1.76091,552.6172727272727,0.7027727272727273,529.1819,0.308494
2010-04-09,Maharashtra,wheat,2010,42.94,24.19,0.0,1.76091,552.6172727272727,0.7027727272727273,529.1287500000001,0.3057385
2010-04-10,Maharashtra,wheat,2010,43.11,23.94,0.0,1.76091,552.6172727272727,0.7027727272727273,529.0177,0.303415
2010-04-11,Maharashtra,wheat,2010,43.6,22.45,0.0,1.76091,552.6172727272727,0.7027727272727273,528.96765,0.3011015
2010-04-12,Maharashtra,wheat,2010,43.65,22.36,0.0,1.76091,552.6172727272727,0.7027727272727273,528.87565,0.2990035
2010-04-13,Maharashtra,wheat,2010,43.89,22.3,0.0,1.76091,552.6172727272727,0.7027727272727273,528.7866,0.2965735
2010-04-14,Maharashtra,wheat,2010,44.74,22.97,0.0,1.76091,552.6172727272727,0.7027727272727273,528.68885,0.2937849999999999
2010-04-15,Maharashtra,wheat,2010,44.62,23.85,0.0,1.76091,552.6172727272727,0.7027727272727273,528.5992,0.2910125
2010-04-16,Maharashtra,wheat,2010,45.15,23.85,0.0,1.76091,552.6172727272727,0.7027727272727273,528.5225,0.288442
2010-04-17,Maharashtra,wheat,2010,44.63,23.09,0.48,1.76091,552.6172727272727,0.7027727272727273,528.4488,0.2857635
2010-04-18,Maharashtra,wheat,2010,44.77,24.4,0.0,1.76091,552.6172727272727,0.7027727272727273,528.36005,0.283166
2010-04-19,Maharashtra,wheat,2010,43.89,23.85,0.0,1.76091,552.6172727272727,0.7027727272727273,528.2549,0.280607
2010-04-20,Maharashtra,wheat,2010,43.45,23.0,0.0,1.76091,552.6172727272727,0.7027727272727273,528.17815,0.2781055
2010-04-21,Maharashtra,wheat,2010,43.74,22.87,0.0,1.76091,552.6172727272727,0.7027727272727273,528.10145,0.2755045
2010-04-22,Maharashtra,wheat,2010,43.92,23.01,0.0,1.76091,552.6172727272727,0.7027727272727273,528.0166999999999,0.272825
2010-04-23,Maharashtra,wheat,2010,43.51,23.96,0.0,1.76091,552.6172727272727,0.7027727272727273,527.88795,0.2698295
2010-04-24,Maharashtra,wheat,2010,43.36,23.09,0.0,1.76091,552.6172727272727,0.7027727272727273,527.87625,0.2673415
2010-04-25,Maharashtra,wheat,2010,43.76,22.76,0.0,1.76091,552.6172727272727,0.7027727272727273,527.79855,0.2646935
2010-04-26,Maharashtra,wheat,2010,43.74,23.31,0.0,1.76091,552.6172727272727,0.7027727272727273,527.71735,0.2624464999999999
2010-04-27,Maharashtra,wheat,2010,44.36,23.52,0.0,1.76091,552.6172727272727,0.7027727272727273,527.63555,0.2599935
